File,Article_type,Context_type,Noun_type,Left ,KWIC,Right
B0B,b_definite,b_determined,d_proper,"[ That 's all right , ] said the pleasant lady . [ I hope you did n't get anything worse than a ducking , ] she added , turning to Jenny . Then : [ Where is the Brownies ' Bridge , please , and what is it ? I am staying for a few days at the Dale End Hotel while I explore the district , and I 'd like to know about ",<<< the >>>," Brownies ' Bridge , as I am to do with Brownies . ] [ Well , if so 's you 're to do wi' Brownies an' you could bring yum back to t' dale , ma'am , folk like me would be much obliged , ] said Aunt Nellie . While she filled the tank of the lady 's car she told her the legend of the Brownies ' Bridge . [ Well , as I said to you just now , ] said the lady , [ there are still Brownies who do good turns , although they are n't fairy folk but real girls like this one -- and about her age too . ]"
B1P,b_definite,b_determined,b_count_pl,"Perhaps more than in any other specialist area of study the means to do so are readily available . When the sources of the local authority archaeological office , reference library , county or city museum , Royal Commission publications and collections , Victoria County History volumes and the secondary texts quoted earlier have been exhausted , then the historic buildings officer may be consulted , together with the county or district planning departments . For very modern buildings of all classes it will also be possible to contact the developers and architects concerned . In the case of ecclesiastical property this may be done through the church authorities ; in the case of other buildings it will be possible to consult with ",<<< the >>>," agents who handled the commercial matters concerned ; these can be identified by consultation with the local authority . An excellent example of the rewards of careful research . This small house in Pamphill , Dorset , presented until recently a very drab and rundown appearance . When all the rendering was removed and interior studies made , it proved to be a late medieval first-floor hall house , and its appearance is now as in the lower picture ."
B7L,b_definite,b_determined,a_count_sg,"Martell stresses that the situation should concern health authorities because of the ubiquity of airborne radon and its decay products indoors . [ Radon gas , emanating from radium in the soil , is present at high concentrations in soil gases and enters homes though unpaved basements and through wet and porous structural materials , ] Martell says . [ Building materials containing radium-226 and dissolved radon in water also contribute . ] Smoking statistics support ",<<< the >>>," idea of a link . Uranium miners who smoke , for example , can contract lung cancer within 8 to 10 years , four times faster than smokers in other jobs . Brittle prospects for 3D snapshooter Barry Fox"
CA2,a_indefinite,a_nondetermined,a_count_sg,"Many knitters will not often come across patterns that take up the whole working memory . However , it is always best to make the calculations , even with small patterns , because if you want to enter many smaller designs into , say , stitch pattern areas A to K , you will still need to know exactly how much memory is being taken up and how much is left . The guideline of a total of 47,520 BITS for all stitch patterns should allow you to work comfortably without problems . For the same reason , it is a mistake to leave a stitch pattern in the memory from ",<<< a >>>," previous knitting project , whilst you enter other patterns in other sections . You may not be actually using the previous stitch pattern this time around , but it is still taking up memory , whether you use it or not . For instance , suppose that your last knitting project was a sweater with a large picture on the front which was stored in the console stitch pattern A and B areas , taking up a total of 31,680 BITS of memory . Now you want to knit a garment in an all-over four-colour design ."
CAH,b_definite,b_determined,c_uncount,"Therefore , in any dealings , the only movement would come from Labour , and it would be movement in the direction of a no-entry sign . Labour 's job is to defend its people and communities to the best of its collective abilities , and prepare for the next time . It 's an onerous and unglamorous path to follow in Scotland -- but so it is , too , in England and Wales . And when all ",<<< the >>>," hype is stripped away , it is the one that people expect and demand of us . If we refuse to recognise it , while maintaining an obsession with constitutional policies , they will continue to set their own agenda -- and judge us harshly for refusing to respect it . NATION STATES Together and apart Plaid Cymru MP Dafydd Elis Thomas believes there must be an end to the UK , based on understanding not division Most writing about nationalism starts back to front ."
CAN,b_definite,b_determined,a_count_sg,"The Anglo-French-German study was not principally about new technology , but its findings are of great relevance to the subsequent Anglo-German study specifically concerned with work organisation and CNC technology in manufacturing industry . The former study compared carefully matched samples of British , French , and German factories , and having held as constant as possible factors such as size of enterprise , technology , and the firm 's environment , discovered substantial differences in the way work was organised in the three countries , concluding that these could best be accounted for by features of each nation 's culture , and in particular its educational and occupational structures . Caricaturing their findings somewhat , they discovered that West German firms had flatter , more widely based pyramids of management hierarchy than French firms , and that British firms tended to have forms of work organisation that were not pyramidal because there was extensive use of line and staff relationships . They attributed these differences primarily to the fact that in West Germany there was an extensive system of vocational training , further in-service training , awarding of qualifications , and positioning in ",<<< the >>>," hierarchy on the basis of such qualifications . This meant that management were able to push decision making well down the hierarchy , giving those actually operating the CNC machines much autonomy , and expecting a high level of integration of the various functions such as quality control , work planning , programming of the machine , and machine setting to take place via those operatives actually on the shop floor . In France , by contrast , there was a polarisation of skills , characterised by a high level of expertise among the managerial cadres and technicians , and a very low proportion of skilled craftspeople among the shop-floor workers . This led , they argue , to a situation where decisions were made by the elite at the top of the management hierarchy and then fed down the line of command ."
CAU,b_definite,b_determined,a_count_sg,"A cruise descent is kinder than a glide for the engine : try to make this your normal procedure except when inappropriate e.g. on a practice forced landing . Apply carb heat , then select the rpm to give your required rate of descent . ( Note : 100 rpm = approx 100 fpm . ) Carb heat makes the air less dense , and so richens ",<<< the >>>," mixture without using the mixture lever , which should remain in its cruise position . Before levelling : -- at 200 feet to go , mixture rich , carb heat off -- 50 feet to go , select cruise power and level off . If continuing at this new level , re-lean as before . This is the best procedure , and it is without risk to your engine for descents of up to 3,000 feet ."
CB9,b_definite,b_determined,b_count_pl,"Neuroelectric devices were used during the last century without the blessing of the medical sciences . But in recent years the knowledge of the role of electricity in the treatment of disease has developed considerably , and there are no technical reasons why the findings and the techniques outlined can not be implemented and developed immediately by any competent specialist . Modern instruments are reliable and the process is based on presently valid scientific methods . It must be accepted that although ",<<< the >>>," above findings relate mainly to electrical forces they form part of an interactive system involving also chemical , pressure-volume , gravitational and other environmental factors , and as such they appear to be under the influence of one basic energy field -- whatever it might be termed . These forces in turn can react to various pathological processes such as infections , chronic irritants , including smoking , toxic agents , chronic irradiation , nutrients , etc. , which serve as activators in the process of carcinogenicity in accordance with the circumstances previously discussed relating to cell vulnerability . Cell vulnerability and immune system functioning are indelibly interwoven . In a healthy organism the latter , as a member of the cellular society , endeavours in a way to maintain a natural equilibrium between the cell 's vibrational frequencies and external environmental EM influences ."
CBC,a_indefinite,a_nondetermined,a_count_sg,"Amateur mystics will love Russell Grant 's new Astro-Tarot Pack of cards which comes with an instruction booklet ( Virgin , £14.99 ) . You 'll be able to spend many an hour amazing your friends with your newly-acquired fortune-telling skills . Outdoor types who would like to know more about dowsing will be able to get started with The Pendulum Kit ( Virgin , £12.99 ) . The kit includes ",<<< a >>>," fine brass pendulum and chain along with a detailed book to point you in the right direction . If you like reading about animals and country life , try ace vet James Herriot 's warm and humorous tale Every Living Thing ( Michael Joseph £15.99 ) . Armchair travellers will appreciate Michael Palin 's Pole To Pole ( BBC , £16.95 ) which faithfully follows his TV series in which he raced through 17 countries in colourful style ( there is also a video out ) . Other interesting books that tie in with TV series are John Sparks 's Realm Of The Russian Bear ( BBC , £18.95 ) , and Geoff Hamilton 's The Living Garden ( BBC , £15.95 ) ."
CCJ,b_definite,b_determined,c_uncount,"They were told that if they could supply soap , toothpaste , toothbrushes , disposable razors , disinfectant , cotton sheets and pillow-cases and adult shorts and T-shirts , such items could be shipped to Honduras free of charge on a returning banana boat . The pupils at All Hallows have responded with their customary generosity . If anyone else would like to help please contact Mr Campbell at All Hallows . Pupils at the school have also presented the ecological musical , Yanomamo , which takes the theme of ",<<< the >>>," richness of the rainforest and the tragedy of its destruction . United in song PUPILS , parents and friends of Ellesmere Port Catholic High School turned out on a stormy evening , to make a recording for BBC Radio Merseyside 's regular Sunday morning programme , United in Song . The school was very pleased to take part in a programme which has visited many local churches and schools in Radio Merseyside 's 25 years of broadcasting ."
CCL,b_definite,b_determined,a_count_sg,"This evolutionary model has subsequently been replaced by a relativistic one ; this maintains that [ an observer should be careful to evaluate a culture first in terms of its own values , goals , and focuses before venturing to compare it ( either positively or negatively ) with any other culture ] ( Kraft 1979:49 ) . Patterns of behaviour which appear strange or even wrong from the standpoint of the outside observer interpreting what he sees in terms of his own cultural frame of reference , may , when understood in their broader cultural setting , be perfectly reasonable and even commendable . This is easier said than done . But to highlight ",<<< the >>>, problem helps us to identify and confess our bias . It requires special gifts of insight and patience to move from a mono-cultural to a cross-cultural perspective . CULTURE AND BIBLICAL REVELATION The biblical perspective of divine revelation is of God speaking at specific times addressing himself to particular situations .
CCR,b_definite,b_determined,d_proper,"Following pressure from the NSP and Lansbury , the National Labour Party urged West Ham Trades Council not to run a candidate against Thorne at Plaistow . More significant , however , was the very real threat to , Labour unity posed by the determination of Thorne and Jones to stand as NSP candidates , and the resignation from the Labour group on West Ham council of eight key figures , including Thorne , Jones , Godbold and Thomas Kirk ( SE 9 February 18 ) . Kirk complained of the perpetual insults that every decent labour man has endured through standing up for his country in the hour of her crisis from men who have foisted themselves on ",<<< the >>>," Labour movement by wirepulling tactics . These men have no industrial history and owe their presence there to men like Will Thorne , Jack Jones , etc. , who in the past gave labour the footing that it has attained &hellip; To be associated with them you must be either a square-headed German or a bearded Bolshevik . I have resigned membership of the West Ham Town Council Labour Group and in future will answer to the West Ham Branch of the National Union of Railwaymen ."
CEP,b_definite,b_determined,b_count_pl,"And now he has sold him . The transfer is a great coup for Alex Ferguson and , at £1.2m has got to be classed as a bargain . I would not be surprised , though , if Fergie 's initial call to Howard Wilkinson on Wednesday was to inquire about Lee Chapman . Big Chappie scores goals , has physical presence and is good in the air -- all ",<<< the >>>," things that Manchester United need up front . If this is the case , and he has then asked about Cantona and been given the nod , he has still done well . Cantona is still stuck in a bit of a culture gap , in mid-channel if you like . But he 's worked hard to adapt to the pace of things in England and because of that , his skill has suffered a bit ."
CEW,a_indefinite,a_nondetermined,a_count_sg,"La Clemenza di Tito is one of the last of the opere serie , a genre which by then had fallen more or less totally out of fashion . Even Mozart failed to infuse new life into its moribund form . It remains a superb pièce d'occasion , and is only rarely revived today . The plot concerns ",<<< an >>>," attempt to assassinate the Roman Emperor Titus : it is foiled , but the magnanimous emperor pardons the conspirators . The scoring is suitably opulent , with pairs of clarinets or their dark-hued relatives , basset-horns , augmenting the woodwind section ; but despite some magnificent individual arias the opera was not a success . One member of the audience described it as [ boring ] , and the singers were indifferent . After the glittering state occasion of the première , which of course was full , it played to empty houses , while the Prague public continued to flock to Don Giovanni , then currently enjoying a revival ."
CGC,b_definite,b_determined,d_proper,"I mean , OK I went mad in Barbados or whatever and the rest of it , but the rest of the band are like , [ Oh , X went mad , now he 's back to normal , it 's sweet . ] We 've all got confidence in each other because to us friendship is more important than anything . We 're just into each other getting our act together . ] Being surrounded by a supportive network of friends has always given ",<<< the >>>," Happy Mondays the edge in the bullshit world of the music industry . Back when no one took any notice of them , they kept the band together to entertain themselves . Then when everybody wanted a piece of the action , they suddenly became the impenetrable clique every young soul rebel , too sacred to kick arse on their own , wanted to join . As Nathan points out , [ Everyone likes the anti-hero thing , do n't they ?"
CH0,b_definite,b_determined,b_count_pl,"The DAR stood around , waiting for the entertainment . The children had stopped singing , and were lighting cross-shaped sparklers . They waved them around , chanting [ burn the commie , burn the commie ] until Uncle Sam cuffed one of them around the ear . The Sandrat felt ",<<< the >>>," old skills coming back . Human speech returned , and her brain raced . [ Like the man said in the song , [ you have nothing to lose but your chains . ] ] She twisted out of Miss Liberty 's grip , and sank a foot into the woman 's midriff ."
CH6,b_definite,b_determined,c_uncount,"Cops save bride Sarah 's big day BRIDE Sarah Mustoe 's big day was saved from disaster by something borrowed and something blue -- a police car with a flashing light . Two traffic police dashed Sarah and her father to the church when her vintage wedding car broke down . Weeping Sarah , 28 , and dad Albert were stranded in ",<<< the >>>," rain as the driver battled to start the engine . PC Roy Evans and his partner spotted them -- and sped them to the church in Cheltenham , Gloucs , with blue light flashing and siren blaring . Sarah wed Ian Hodson , 27 , just 15 minutes late and insisted on posing for pictures with the officers . [ They are heroes , ] she said yesterday ."
CK4,a_indefinite,a_nondetermined,a_count_sg,"Up In Downsville ACR ARE a frustrating lot . Whilst they are very good at what they do , they 've also been riding the same horse for a very long time and the old nag 's starting to show signs of wear . To their credit , [ Up In Downsville ] is trying hard and although there is an indisputable one-dimensional groove to much of this album , they do muster a bit of sparkle as with the chugging [ Tekno 4 ",<<< An >>>," Answer ] and get out of their muso strait-jackets . Some of [ Up In Downsville ] is so laid-back that it simply wafts around your ears like tobacco smoke and they have an irritating habit of pulling their potential punches for fear of treading on someone 's daisies . Subtle is something that ACR understand only too well . When they do really get going and out of their comfortable fog , like during [ Turn Me On ] when Denise Jonson 's sweet soul vocals contribute to a track that simply wipes the floor with anything that Soul II Soul have put out in the last three years , that 's when they 're really worthwhile ."
CK6,b_definite,b_determined,a_count_sg,"BRIGHTON 'S EARWIG have come over all weird . Their sound , previously user-friendly indie guitar pop , is now deeply mood-led and spine-tinglingly atmospheric , ethereal master class stuff . Singer Kirsty Yates ' vocals and spooky lyrics provide the strongest bridge between Earwig past and present . The difference is , now ",<<< the >>>," voice has an upgraded environment in which to shine , like a great oil painting shifted from bedsit to art gallery . Her caressing , lullaby tones couple child-like sensitivity with reflective awareness , and as such is an ideal vehicle for telling fairy tales . Kirsty could convince any kid that goblins and fairies reside in the bottom of the garden , no problem . Earwig only do four numbers tonight , but as [ Every Day Shines ] , [ Scraped Out ] and [ Sickhair ] brood on considerably longer than average songs , the set 's not over abruptly ."
CNN,b_definite,b_determined,d_proper,"The company is using its global broadband network to link the services and is using them to launch a Global Managed Data Service which will compete with the likes of British Telecommunications Plc 's Global Network Service and Infonet . Five new switching centres , equipped with Northern Telecom Ltd DNPS-100 switches , have been set up in Washington , San Francisco , London , Hong Kong and another another Far East location that the company does n't want to talk about . Support centres have been put in place in Washington , London , and Hong Kong . Together Global Managed Data Service links Mercury 's UK Managed Data Network Service , Managed Data Service in ",<<< the >>>," US , Hong Kong 's Datapak and the European IDNS 900 , which services nine European countries . The integration effort has been aided by the the fact that the majority of C&amp;W 's large data networks are already based on Northern Telecom switches anyway . As a result , the Global Service will be running Northern 's proprietary Universal Transport Protocol internally , while end users are presented with standard services , normally looking like an X25 packet switched network , although with a bit of tinkering the company can give its customers SNA or frame relay connections instead . Initially , those networks which are not based on Northern Telecom switches will be left out in the cold ."
CRM,a_indefinite,a_nondetermined,a_count_sg,"The following ratios of Ca 2+ to 1mM EGTA were used ( estimated free Ca 2+ in parentheses ) : 0.134 ( 10nM ) , 0.279 ( 25nM ) , 0.436 ( 50nM ) , 0.607 ( 100nM ) , 0.755 ( 200nM ) , 0.830 ( 316nM ) , 0.860 ( 398nM ) , 0.908 ( 631nM ) and 0.940 ( 1,000nM ) . FIG. 4 Purification of the cGMP-gated channel complex by calmodulin and immunoaffinity chromatography and identification of the 240K channel-associated protein as a major calmodulin-binding polypeptide of ROS membranes . Lanes a , ROS membranes after the extraction of soluble proteins ; lanes b , EDTA eluant from a calmodulin affinity column ; and lanes c , N-terminal peptide eluant from an N-terminal-specific anti-channel monoclonal antibody ( PMc 6E7 ) column . Left , SDS gel stained with Coomassie blue ( CB ) ; middle , western blot labelled with an anti-63K channel monoclonal antibody ( PMc 1D1 ) and ",<<< an >>>," anti-240K monoclonal antibody ( PMs 5E11 ) . Right , western blot labelled with 125 I-calmodulin ( CaM ) . Calmodulin was found to bind to the 240K polypeptide , but not to the 63K channel subunit in the immunoaffinity-purified channel complex . No labelling was observed in the presence of EGTA ."
CRR,a_indefinite,a_nondetermined,a_count_sg,"[ I have got an appointment for young Walker for Madras instead of Bombay which I am sure will please his friends ] , David Scott told his agent in St. Andrews , on one occasion . William Elphinstone , another East India Company director , advised his friend , the Glasgow merchant Peter Spiers , that he could If the military and civil branches of the East India Company 's service were the most attractive forms of Indian patronage , the appointment of surgeon , either in India itself or on board an East Indiaman , one of the privately owned merchant vessels which carried Indian trade , was considered a desirable place by many Scots with the necessary professional training . Of the less well known Indian appointments , a place in the Indian Marine also attracted a number of Scots even though it was based at unpopular Bombay , for it was a service which promoted by seniority , and death from wounds or disease could allow the rapid elevation of a healthy midshipman to ",<<< a >>>," position of command . The attraction of such a place was enhanced by the prize money paid in time of war to officers of the Indian Marine as to those of the Royal Navy , but the time promotion was unique to the Indian service , virtually guaranteeing advancement in rank . Cargoes taken to and from the East were carried in specially built ships , which were among the largest contemporary merchantmen , the East Indiamen , and the officers ' places in these ships were an additional source of private patronage for those politicians who enjoyed influence with the owners of the ships , for it was the owners , not the Company , who appointed the commander and mates of East Indiamen . Ships sailing to India which were not directly owned or managed by the Company were considered to be permanently chartered to the Company , but the value of the charter to the vessel 's owners and officers was determined by the port to which it was sent , and that was a decision made by the Company ."
E9V,b_definite,b_determined,b_count_pl,"The nobles ' freedom to do what they wished with their lands was enhanced by the development of the legal device known as the [ use ] . The idea was similar to that of a trust . Lands were granted to a group of men known as feoffees , who became the legal owners of the land , while the grantor enjoyed the use of the lands -- in other words , all the rights and profits arising from them . But because ",<<< the >>>," feoffees were the legal owners , the lands could not be taken into wardship if the grantor died leaving an heir under age , nor could the crown require the payment of a relief when the heir entered upon his inheritance , and lands held in trust in this way could not be forfeited for treason . The device also enabled the lord to mitigate the rigour of primogeniture and make provision for younger sons , for daughters , and for the endowment of Masses for his soul and the souls of members of his family . The development of the use greatly enhanced the landowner 's freedom of action , while the crown 's rights of wardship , escheat and relief were lost . Edward III , however , seems to have made little effort to safeguard these rights ."
EAA,b_definite,b_determined,b_count_pl,"Politics is power in action . In organizations with scarce resources political activity is inevitable and only the naive decry it . Contrary to popular opinion it is one of the energy sources necessary to get things done . Contextual factors which increase the level of political activity are organization size , disagreement over goals or unclear goals , different perceptions of the options , different information about the same situation , the scarcity of resources and the need to allocate them , and major differences in ",<<< the >>>," expectations and/or power bases of different individuals and groups . People have to make choices ; some goals will be achieved at the price of others . So individuals and groups will play political games to position themselves to gain their preferred outcomes . However , most significantly through these behavioural processes output is delivered ; energy has been released and output produced ."
EAJ,b_definite,b_determined,b_count_pl,"[ It is not who governs , ] contends Hayek , [ but what government is entitled to do that seems to me the essential problem . ] It is on the basis of these distinctions that Hayek seeks to avoid certain criticisms that have been applied to Oakeshott . As we have seen , in taking the philosophical approach which he does , it is not clear precisely how , having established the existence of a sovereign office of legislature , Oakeshott seeks to establish the rule of law qualification on the exercise of this power . Similarly , having identified ",<<< the >>>," ideal characters of societas and universitas and recognized the existence of both modes in the history of the European state , it is not clear precisely why Oakeshott comes down in favour of societas . By contrast , Hayek justifies the moral superiority of societas by taking a clear ideological line in which the idea of liberty is established as the predominant value in his philosophy . Furthermore by taking an ideological rather than merely a dispositive approach he is able to lay down principles for the reconstruction of societas in the modern age . It is to this exercise that we now turn ."
