label_verbose,label,verb,verbmorph,verbmorph2,matrix_subject_type_2,matrix_subject_type_3,emb_cl_length,interv_material_macl_embcl,horror_aequi,ehms_etc_narrow,ehms_etc_broad,alpha_persistence_50,alpha_persistence_100,alpha_persistence,alpha_pers_distance,beta_pers_distance,ln_beta_pers_distance,beta_persistence_2,ttrpassage,adv_beginning,adv_afterend,matrix_negation,matrix_auxiliary,complement_subject,I_THINK_alert,verbid,morphid,text,speaker,speaker_age2,speaker_age,speaker_sex,area,area2,county,latitude,corpus
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,6,0,no,0,0,no,no,zero,1024,9,2.197,3,6.6,no,no,yes,no,no,no,no,yes,YKS_007,YksML,NA,        ,male,N,b_England,YKS     ,54.42,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,6,0,no,0,1,no,no,zero,85,116,4.754,0,7.5,no,no,no,no,yes,no,no,no,CON_005,CAVA_WJB,74,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,he,a_other,7,0,no,0,0,no,no,zero,776,138,4.927,0,8,no,no,yes,no,yes,no,no,no,NTT_013,NotA8,NA,        ,male,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,1066,15,2.708,3,7.3,no,no,no,no,no,no,no,no,SFK_004,ELF,71,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,145,29,3.367,2,7.6,no,no,no,no,yes,no,no,yes,CON_007,ICS_JE,59,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,1988,13,2.565,2,7.5,no,no,no,no,yes,no,yes,no,WES_017,WesDX,81,old     ,male,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,317,78,4.357,1,7.1,no,no,yes,no,yes,no,no,yes,LAN_023,WigWO,NA,        ,NA,N,b_England,LAN     ,53.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,371,65,4.174,3,7.2,no,no,no,no,yes,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,58,90,4.5,1,7.6,no,no,no,no,no,no,no,no,SAL_033,IBTJ,82,old     ,male,Mid,b_England,SAL     ,52.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,643,2,0.693,1,7.1,no,no,no,no,yes,no,no,yes,YKS_008,YksMW,NA,        ,female,N,b_England,YKS     ,54.42,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,no,zero,766,9,2.197,2,6.9,no,yes,no,no,yes,no,yes,yes,NTT_012,ALI,78,old     ,female,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,0,no,yes,explicit,87,9,2.197,5,7.6,no,no,no,no,no,no,no,no,KEN_010,KentPB,87,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,1,no,no,zero,104,16,2.773,2,7.5,no,no,no,no,yes,no,yes,yes,KEN_009,KentAW1,81,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,1,no,no,zero,1150,85,4.443,2,6.9,no,yes,no,no,yes,no,no,no,CON_003,CAVA_PV,86,old     ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,1,no,no,zero,544,117,4.762,0,6.9,no,no,no,no,no,no,no,no,NTT_012,ALI,78,old     ,female,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,1,no,no,zero,58,100,4.605,1,6.5,no,no,no,no,no,no,yes,yes,KEN_009,KentAW1,81,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,2,no,no,zero,423,16,2.773,3,7,no,no,no,no,yes,no,no,no,SOM_029,SRLM_JA,70,young   ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,0,no,0,3,no,no,zero,110,75,4.317,1,7.1,yes,no,no,no,no,no,yes,no,KEN_004,KentPB,87,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,1,no,1,1,no,no,zero,144,29,3.367,2,7.4,no,no,no,no,no,no,yes,no,NTT_005,NotA52,85,old     ,male,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,10,3,no,0,5,no,no,zero,258,15,2.708,4,6.5,yes,no,no,no,no,no,no,yes,WIL_003,TrbrJS,NA,        ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,explicit,116,115,4.745,0,7.3,yes,no,no,no,no,no,no,yes,CON_008,ICS_JP,NA,        ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,explicit,239,125,4.828,0,7.1,yes,no,no,no,no,no,no,yes,WES_019,WesZb,70,young   ,male,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,223,5,1.609,2,7.1,no,no,no,no,yes,no,no,yes,LND_002,EB,56,young   ,female,SE,b_England,LND     ,51.5,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,232,22,3.091,3,7.2,no,no,no,no,yes,no,no,no,KEN_002,FK,88,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,287,6,1.792,3,7.3,no,no,no,no,yes,no,no,no,SFK_003,EF1,79,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,29,110,4.7,0,7.1,no,no,no,no,yes,no,no,yes,SFK_010,GCS,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,334,45,3.807,1,6.8,no,no,no,no,yes,no,no,no,WES_012,WesCU,90,old     ,female,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,49,6,1.792,3,6.8,no,no,no,no,yes,no,yes,yes,GLA_003,SwanBE,87,old     ,male,Wal,c_Wales,GLA     ,51.64,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,63,104,4.644,0,6.8,no,no,yes,no,yes,no,no,yes,DFS_001,DfsWH,72,young   ,male,SCL,d_Scotland,DFS     ,55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,639,15,2.708,8,6.7,no,no,no,no,no,no,no,no,SFK_034,SufSMW,79,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,0,no,no,zero,64,38,3.638,3,7.1,no,no,no,no,no,no,yes,yes,KEN_011,KentPB,87,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,1,no,no,zero,15,87,4.466,2,6.5,no,no,no,no,no,no,yes,yes,SOM_009,SRLM_CA,75,old     ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,1,no,no,zero,329,61,4.111,2,8.1,no,no,no,no,yes,no,yes,yes,WIL_001,TrbrGR,85,old     ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,1,no,no,zero,38,56,4.025,2,7.5,no,no,no,no,yes,no,no,no,SOM_001,SRLM_HR,NA,        ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,1,no,no,zero,744,52,3.951,3,5.9,no,no,no,no,yes,no,no,no,OXF_002,GW,102,old     ,male,SW,b_England,OXF     ,51.79,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,2,no,no,zero,379,16,2.773,6,7.2,yes,no,no,no,no,no,no,yes,WIL_001,TrbrGR,85,old     ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,0,2,no,no,zero,642,47,3.85,2,7.1,no,no,no,no,yes,no,no,no,KEN_003,HM,85,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,1,0,no,no,zero,740,15,2.708,3,7.9,no,no,no,no,no,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,1,1,no,no,zero,186,8,2.079,5,7,no,no,no,no,yes,no,no,yes,DFS_001,DfsWH,72,young   ,male,SCL,d_Scotland,DFS     ,55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,1,5,no,no,zero,245,14,2.639,1,6.6,no,no,no,no,yes,no,no,yes,KEN_005,KentTAD,86,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,0,no,2,1,no,no,zero,422,52,3.951,2,7.1,no,no,no,no,yes,no,no,yes,LAN_005,LanC5P,61,young   ,female,N,b_England,LAN     ,53.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,11,1,no,1,2,no,no,zero,59,10,2.303,4,6.3,no,no,no,no,no,no,yes,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,explicit,631,31,3.434,1,7.2,no,no,no,no,no,no,no,no,KEN_007,KentEDG,81,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,1037,129,4.86,0,6.9,no,no,no,no,no,no,no,no,SFK_010,GCS,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,160,23,3.135,1,6.6,no,no,no,no,yes,no,yes,yes,SFK_026,SufWEJ1,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,17,38,3.638,2,7.3,no,no,no,no,yes,no,no,no,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,208,9,2.197,3,7.3,no,no,no,no,no,no,no,yes,OXF_001,FP,81,old     ,male,SW,b_England,OXF     ,51.79,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,415,52,3.951,1,7.4,yes,no,no,no,no,no,no,yes,LND_004,JG,66,young   ,male,SE,b_England,LND     ,51.5,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,49,11,2.398,6,7,no,no,no,no,no,no,no,no,SFK_024,SufWEJ1,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,551,19,2.944,1,7.1,no,yes,no,no,no,no,no,no,SFK_006,HED,77,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,0,no,no,zero,621,37,3.611,2,6.7,no,no,no,no,yes,no,no,yes,SAL_035,IBRH,79,old     ,male,Mid,b_England,SAL     ,52.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,1,no,no,zero,26,57,4.043,2,7,no,no,no,no,yes,no,yes,yes,SOM_034,SRLM_EW,83,old     ,female,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,1,no,no,zero,29,34,3.526,1,6.9,no,no,no,no,yes,no,yes,yes,NTT_009,NotA80,78,old     ,female,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,1,no,no,zero,41,128,4.852,0,7.5,no,no,no,no,yes,no,yes,yes,SOM_009,SRLM_CA,75,old     ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,1,no,no,zero,9,52,3.951,1,6.5,no,yes,no,no,yes,no,no,yes,LND_001,CA,61,young   ,male,SE,b_England,LND     ,51.5,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,0,1,no,no,zero,929,161,5.081,0,7,no,no,no,no,yes,no,yes,yes,KEN_003,HM,85,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,1,0,no,no,zero,295,95,4.554,0,6.8,no,no,no,no,yes,no,no,yes,YKS_004,YksEH,NA,        ,female,N,b_England,YKS     ,54.42,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,0,no,1,4,no,no,zero,1017,33,3.497,3,6.2,no,no,no,yes,no,no,no,yes,WIL_003,TrbrJS,NA,        ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,12,1,no,0,2,no,no,zero,44,18,2.89,2,7.5,no,no,no,no,yes,no,yes,yes,KEN_005,KentTAD,86,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,0,no,no,zero,553,5,1.609,4,7.2,no,no,no,no,yes,no,no,no,SFK_011,JRS,85,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,0,no,no,zero,770,104,4.644,0,7.2,no,yes,no,no,no,no,no,yes,WES_009,WesBX,79,old     ,male,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,0,no,no,zero,901,112,4.718,0,7.6,no,no,no,no,no,no,no,yes,LAN_012,LanEG,71,young   ,male,N,b_England,LAN     ,53.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,0,no,yes,explicit,63,62,4.127,2,7.8,no,no,no,no,yes,no,yes,yes,SOM_021,SRLM_R,NA,        ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,0,yes,yes,explicit,34,9,2.197,2,6.9,no,no,no,no,yes,no,no,no,WES_009,WesBX,79,old     ,male,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,1,no,no,zero,1834,197,5.283,0,6,no,no,no,no,yes,no,no,yes,NTT_006,NotA58,81,old     ,female,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,1,no,no,zero,210,64,4.159,1,7.7,no,no,no,no,yes,no,no,yes,KEN_010,KentPB,87,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,1,no,no,zero,426,118,4.771,0,8.1,no,yes,no,no,yes,no,no,no,KEN_009,KentAW1,81,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,1,no,no,zero,752,34,3.526,3,7,no,no,no,no,no,no,no,yes,WIL_008,TrbrRCC,71,young   ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,6,no,no,zero,172,70,4.248,1,7,no,no,no,no,yes,no,no,no,LND_003,FM,67,young   ,female,SE,b_England,LND     ,51.5,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,0,no,0,7,no,no,zero,575,26,3.258,1,6.9,no,no,no,no,yes,no,no,no,LAN_003,Lang1p,76,old     ,male,N,b_England,LAN     ,53.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,13,1,no,2,10,no,no,zero,95,108,4.682,0,6.7,no,no,no,no,no,no,no,yes,WIL_003,TrbrJS,NA,        ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,0,no,no,zero,118,117,4.762,0,7,yes,no,no,no,no,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,0,no,no,zero,153,49,3.892,3,6.9,no,no,no,no,no,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,0,no,no,zero,42,33,3.497,3,7.9,no,no,no,no,no,no,no,no,SFK_014,SufEAA2,74,young   ,NA,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,0,no,no,zero,5,10,2.303,2,7.1,no,no,no,no,no,no,no,yes,LND_004,JG,66,young   ,male,SE,b_England,LND     ,51.5,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,0,no,no,zero,610,9,2.197,3,7.5,no,no,no,no,no,no,no,yes,SFK_010,GCS,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,0,no,yes,explicit,84,28,3.332,4,6.8,no,no,no,no,no,no,no,yes,SFK_011,JRS,85,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,0,2,no,no,zero,445,35,3.555,4,7.5,no,no,no,no,no,no,no,yes,DEV_002,TCA_GB,NA,        ,male,SW,b_England,DEV     ,50.38,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,0,no,1,1,no,no,zero,605,85,4.443,3,7.1,no,no,no,no,no,no,no,yes,KEN_003,HM,85,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,3,no,0,0,no,no,zero,94,114,4.736,0,6.3,yes,no,no,no,no,no,no,yes,CON_007,ICS_JE,59,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,14,4,no,1,1,no,no,zero,13,2,0.693,4,7.9,yes,yes,no,no,no,no,no,no,SOM_028,SRLM_WT,87,old     ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,132,17,2.833,1,7.5,no,no,no,no,no,no,no,yes,SFK_001,AnnieShort,NA,        ,female,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,138,77,4.344,1,6.4,no,no,no,no,yes,no,no,yes,NTT_016,NotA48,NA,        ,male,Mid,b_England,NTT     ,53.01,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,1924,37,3.611,2,7.1,no,no,no,no,yes,no,no,no,WIL_008,TrbrRCC,71,young   ,male,SW,b_England,WIL     ,51.26,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,213,40,3.689,2,7.6,no,no,no,no,no,no,no,yes,SFK_010,GCS,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,311,95,4.554,1,6.9,no,no,no,no,no,no,no,yes,YKS_003,YksSL,NA,        ,male,N,b_England,YKS     ,54.42,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,438,368,5.908,0,6.7,no,no,no,no,no,no,no,no,CON_003,CAVA_PV,86,old     ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,0,no,no,zero,83,25,3.219,5,7.3,no,no,no,no,yes,no,yes,yes,SFK_024,SufWEJ1,73,young   ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,1,no,no,zero,138,81,4.394,2,8,no,yes,no,no,no,no,no,no,KEN_011,KentPB,87,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,2,no,no,zero,321,37,3.611,1,7.5,no,no,no,no,yes,no,no,yes,MDX_001,MdxCG,79,old     ,male,SE,b_England,MDX     ,51.59,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,2,yes,yes,explicit,26,25,3.219,3,7,no,no,no,no,no,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,3,no,no,zero,28,64,4.159,3,7.7,no,no,no,no,yes,no,yes,no,LND_003,FM,67,young   ,female,SE,b_England,LND     ,51.5,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,0,4,no,no,zero,366,57,4.043,2,7.4,no,no,no,no,yes,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,1,1,no,no,zero,65,55,4.007,1,7.1,no,no,no,no,no,no,no,yes,KEN_009,KentAW1,81,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,15,0,no,1,7,no,no,zero,71,4,1.386,1,6.7,yes,no,no,no,no,no,no,yes,LAN_003,Lang1p,76,old     ,male,N,b_England,LAN     ,53.65,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,10,18,2.89,1,7.4,no,no,no,no,yes,no,no,yes,CON_010,ICS_RM,70,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,147,10,2.303,4,6.6,no,no,no,no,no,no,no,yes,SOM_027,SRLM_TP,81,old     ,male,SW,b_England,SOM     ,51.11,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,31,21,3.045,4,6.9,no,no,no,no,yes,no,no,no,SFK_034,SufSMW,79,old     ,male,SE,b_England,SFK     ,52.55,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,40,45,3.807,3,7.2,no,no,no,no,yes,no,no,yes,OXF_001,FP,81,old     ,male,SW,b_England,OXF     ,51.79,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,69,41,3.714,2,7.7,no,no,no,no,no,no,no,yes,WES_012,WesCU,90,old     ,female,N,b_England,WES     ,54.43,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,720,129,4.86,0,6.5,no,no,no,no,yes,no,no,yes,CON_011,CorJLN,69,young   ,male,SW,b_England,CON     ,50.18,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,79,58,4.06,1,7.4,no,no,no,no,yes,no,no,yes,DEV_005,TCA_FP,82,old     ,male,SW,b_England,DEV     ,50.38,b_FRED
zeroTHAT,1,know,a_base,a_base_3sg,I,I,16,0,no,0,0,no,no,zero,878,115,4.745,0,7.6,no,no,no,no,no,no,no,yes,KEN_004,KentPB,87,old     ,male,SE,b_England,KEN     ,51.25,b_FRED
